"city_slug","city_name","city_province","restaurant_id","restaurant_name","restaurant_type","deal_id","deal_title","deal_summary","deal_description","deal_type","deal_price","day_of_week","days_of_week","start_hour","end_hour","last_verified","is_active"
"lethbridge","Lethbridge","AB","original-joes","Original Joe's","chain","oj-margaritas-tacos-mon","Margaritas & Tacos","Discounted margaritas & tacos","Monday Margaritas & Tacos special all day. Featuring discounted classic margaritas and select taco options. Choose from chicken, beef, or fish tacos served with fresh toppings, salsa, and lime. Classic lime margaritas made with premium tequila. Dine-in only. Available at both North & West locations.","both","","1","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","original-joes","Original Joe's","chain","oj-half-price-wings-tue","Half-Price Wings","50% off wings after 2pm","Tuesday wings at 50% off starting at 2pm until close. Choose from classic, breaded, or boneless wings tossed in your choice of sauce: honey garlic, BBQ, hot, medium, mild, teriyaki, salt & pepper, or Thai chili. Served with celery, carrots, and ranch or blue cheese dip. Order by the pound or in baskets. Dine-in or takeout. Available at both North & West locations.","food","","2","","14","","2025-11-21","true"
"lethbridge","Lethbridge","AB","original-joes","Original Joe's","chain","oj-half-price-wine-thu","Half-Price Wine","50% off wine all day","Thursday wine special - 50% off all wines by the glass or bottle all day. Selection includes reds (Cabernet Sauvignon, Merlot, Pinot Noir), whites (Chardonnay, Pinot Grigio, Sauvignon Blanc), and rosé. Both domestic and imported options available. Perfect for date night or catching up with friends. Dine-in only. Available at both North & West locations.","drink","","4","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","original-joes","Original Joe's","chain","oj-sangria-sat","Sangria Special","$2 off sangria","Saturday sangria special - $2 off all sangria pitchers and glasses all day. Choose from classic red sangria or refreshing white sangria, both made with fresh fruit, premium wine, and a splash of brandy. Served over ice. Available by the glass or pitcher. Dine-in only. Available at both North & West locations.","drink","","6","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","original-joes","Original Joe's","chain","oj-weekend-brunch","Weekend Brunch","Brunch till 3pm","Weekend brunch menu available Saturday and Sunday from opening until 3pm. Features eggs benedict, pancakes, French toast, breakfast burritos, omelettes with your choice of fillings, and classic breakfast combos. Includes brunch cocktails like Caesar, Mimosa, and Bellini. Dine-in only. Available at both North & West locations.","food","","","0;6","0","15","2025-11-21","true"
"lethbridge","Lethbridge","AB","the-onion","The Onion Bar & Grill","local","onion-pints-riblets-mon","Pints & Riblets","$5.99 pints, $9.99 ribs","Monday pints and riblets special all day. Original 16 or Onion Lager Pint for $5.99 and Ribs & Wings for $9.99. Tender ribs slow-cooked and basted with house BBQ sauce, served with fries and coleslaw. Great value for Monday night. Dine-in only.","both","$5.99 pints, $9.99 ribs & wings","1","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","the-onion","The Onion Bar & Grill","local","onion-paralyzers-lasagna-mon","Vodka Paralyzers & Lasagna","$5.99 paralyzers, $13.99 lasagna","Monday and Tuesday special featuring Vodka Paralyzers for $5.99 and classic Baked Lasagna for $13.99. Lasagna made with layers of pasta, rich meat sauce, ricotta, mozzarella, and parmesan, baked until golden and served with garlic toast. Paralyzers made with vodka, Kahlúa, Coke, and cream. Dine-in only.","both","$5.99 paralyzers, $13.99 lasagna","","1;2","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","the-onion","The Onion Bar & Grill","local","onion-thirsty-thursday","Thirsty Thursday","Long Island Iced Tea & steak sandwich","Thirsty Thursday featuring Long Island Iced Tea for $5.99 and Steak Sandwich for $16.99 all day. Tender steak sandwich served with your choice of side. Great value for Thursday night at The Onion. Dine-in only.","both","$5.99 Long Island, $16.99 steak sandwich","4","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","telegraph-taphouse","Telegraph Taphouse","local","telegraph-pork-lager-mon","Pulled Pork & Lager","Pulled pork sandwich + lager $17","Monday special - $17 for a pulled pork sandwich paired with Russel Craft Lager. Slow-smoked pulled pork piled high on a toasted brioche bun, topped with coleslaw and crispy onion strings. Served with your choice of fries, salad, or coleslaw. Includes a full pint of Russel Craft Lager. Dine-in only.","both","$17","1","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","telegraph-taphouse","Telegraph Taphouse","local","telegraph-tacos-tue","Taco Tuesday","Half-price tacos, $8 margaritas, $6 lagers","Taco Tuesday featuring half-price tacos all day. Choose from chicken, beef, pork, or fish tacos served on soft flour or crispy corn tortillas with fresh toppings, salsa verde, and lime. Pair with Booze Buy drink specials: margaritas $8 or craft lager pints $6. Tacos ordered individually or in sets of 3. Dine-in or takeout.","both","Half-price tacos, $8 margaritas, $6 lagers","2","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","telegraph-taphouse","Telegraph Taphouse","local","telegraph-irish-wed","Irish Wednesday","Half-price ribs & Irish drinks","Irish Wednesday featuring BBQ ribs at half price served with a pint of Guinness (25% off) and a shot of Jameson for $5. Slow-cooked ribs fall-off-the-bone tender and glazed with house-made BBQ sauce. Celebrate mid-week with this Irish-inspired combo special. Dine-in only.","both","Half-price ribs, 25% off Guinness, $5 Jameson","3","","","","2025-11-21","true"
"lethbridge","Lethbridge","AB","telegraph-taphouse","Telegraph Taphouse","local","telegraph-nachos-thu","Thirsty Thursday","Half-price nachos, $8 mules","Thirsty Thursday featuring classic nachos at half price paired with crafted Moscow Mules for $8. Nachos loaded with cheese, jalapeños, tomatoes, green onions, sour cream, and salsa. Choice of toppings available. Perfect combo for Thursday night. Dine-in only.","both","Half-price nachos, $8 mules","4","","","","2025-11-21","true"
